Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling 
11-04-24,Vledder,Drenthe,Scha(a)p(en),7,,,4,11,wolf,GW3690m; GW3882m; gemixt profiel,"Ja, maar",raster was beschadigd, € -   
10-04-24,Vledder,Drenthe,Scha(a)p(en),1,,,,1,wolf,onbekend,Nee,, € -   
10-04-24,Arnhem,Gelderland,Pony('s),4,1,,,4,wolf,onbekend,Nee,, € -   
9-04-24,Fochteloo,Fryslân,Scha(a)p(en),4,,,,4,wolf,onbekend,Ja,, € -   
9-04-24,Vledder,Drenthe,Scha(a)p(en),2,,1,2,4,wolf,GW3689m; GW3690m; gemixt profiel,Ja,, € -   
8-04-24,Amen,Drenthe,Rund(eren),1,1,,,1,wolf,GW3881m,Nee,, € -   
8-04-24,Vledder,Drenthe,Scha(a)p(en),5,,6,,5,wolf,GW3690m,Ja,, € -   
8-04-24,Ermelo,Gelderland,Alpaca('s),1,,,,1,wolf,GW4004f,Nee,, € -   
7-04-24,Ermelo,Gelderland,Geit(en),1,,,,1,wolf,onbekend,Nee,, € -   
7-04-24,Kallenkote,Overijssel,Scha(a)p(en),1,,,,1,wolf,onbekend,Nee,, € -   
7-04-24,Elburg,Gelderland,Scha(a)p(en),2,,,,2,wolf,onbekend,Nee,, € -   
7-04-24,Hulshorst,Gelderland,Scha(a)p(en),5,,,,5,wolf,GW3694f,Nee,, € -   
7-04-24,Vledder,Drenthe,Scha(a)p(en),4,6,5,4,8,wolf,GW3689m; GW3690m,Ja,, € -   
6-04-24,Wapserveen,Drenthe,Scha(a)p(en),5,3,,5,10,wolf,GW3882m,Nee,, € -   
5-04-24,Kallenkote,Overijssel,Scha(a)p(en),7,3,6,13,20,wolf,GW3812m; GW3813m?,Nee,, € -   
5-04-24,Ede,Gelderland,Pony('s),1,,,,1,wolf,onbekend,Nee,, € -   
4-04-24,Ede,Gelderland,Scha(a)p(en),3,,,,3,wolf,GW3012f,Nee,, € -   
4-04-24,Oosterwolde,Fryslân,Scha(a)p(en),5,,,,5,wolf,GW3689m,Nee,, € -   
3-04-24,Finsterwolde,Groningen,Scha(a)p(en),1,,,1,2,wolf,GW3824m?,Nee,, € -   
3-04-24,Fochteloo,Fryslân,Scha(a)p(en),4,,11,10,14,wolf,onbekend,Nee,, € -   
2-04-24,Oldeberkoop,Fryslân,Geit(en),3,,,,3,wolf,gemixt profiel,Nee,, € -   
2-04-24,Haule,Fryslân,Scha(a)p(en),3,5,,,3,wolf,GW3689m,Nee,, € -   
2-04-24,Nijkerk,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3425m,Nee,, € -   
2-04-24,Kootwijkerbroek,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3238m,Nee,, € -   
1-04-24,Bakkeveen,Fryslân,Scha(a)p(en),1,1,,1,2,wolf,GW3690m,Nee,, € -   
1-04-24,Leusden,Utrecht,Scha(a)p(en); Geit(en),9,2,,,9,wolf,GW4076f,Nee,, € -   
30-03-24,Lage Mierde,Noord-Brabant,Scha(a)p(en),1,,,,1,wolf,GW2398m,Nee,, € -   
29-03-24,Appelscha,Fryslân,Scha(a)p(en),1,,,,1,wolf,GW3690m,Nee,, € -   
29-03-24,Veghel,Noord-Brabant,Scha(a)p(en),1,,,,1,vermoedelijk wolf,onbekend,Nee,, € -   
29-03-24,Haulerwijk,Fryslân,Scha(a)p(en),3,2,,,3,wolf,GW3689m,Nee,, € -   
28-03-24,Eesveen,Overijssel,Scha(a)p(en),4,4,2,,4,wolf,onbekend,Nee,, € -   
28-03-24,Lunteren,Gelderland,Scha(a)p(en),2,,,,2,wolf,gemixt profiel,Nee,, € -   
27-03-24,Aalst,Gelderland,Scha(a)p(en),3,,2,,3,wolf,GW2398m,Nee,, € -   
27-03-24,Lunteren,Gelderland,Scha(a)p(en),4,1,1,3,7,wolf,GW2435m; GW3691f; gemixt profiel,Nee,, € -   
27-03-24,Nederhemert,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW2398m,,,  
27-03-24,Fochteloo,Fryslân,Scha(a)p(en),10,6,7,12,22,wolf,GW2397m,,,  
26-03-24,Ermelo,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW4004f,,, € -   
25-03-24,Beilen,Drenthe,Scha(a)p(en),3,,,,3,wolf,GW3813m,Nee,, € -   
25-03-24,Fluitenberg,Drenthe,Scha(a)p(en),1,1,,,1,wolf,onbekend,Nee,, € -   
24-03-24,Beilen,Drenthe,Scha(a)p(en),1,1,,,1,wolf,GW3813m,Nee,, € -   
23-03-24,Leersum,Utrecht,Scha(a)p(en),5,,,,5,wolf,GW4076f,Nee,, € -   
23-03-24,Wekerom,Gelderland,Pony('s),1,1,,,1,wolf,GW3691f; gemixt profiel,,, € -   
21-03-24,Wateren,Drenthe,Rund(eren),1,,,,1,wolf,GW4009m,Nee,, € -   
21-03-24,Rijswijk,Gelderland,Scha(a)p(en),2,1,,1,3,wolf,GW2398m,Nee,, € -   
21-03-24,Oosterwolde,Fryslân,Scha(a)p(en),5,12,,,5,wolf,GW3690m,Nee,, € -   
20-03-24,Hulshorst,Gelderland,Scha(a)p(en),2,1,,,2,wolf,GW3694f,Nee,, € -   
20-03-24,Ruinerwold,Drenthe,Scha(a)p(en),2,,,,2,wolf,GW3689m,Nee,, € -   
20-03-24,Rijswijk,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW2398m,Nee,, € -   
19-03-24,Maurik,Gelderland,Scha(a)p(en),9,,,,9,wolf,GW2398m,Nee,, € -   
19-03-24,Wekerom,Gelderland,Scha(a)p(en),3,1,,,3,wolf,gemixt profiel,Nee,, € -   
17-03-24,Leusden,Utrecht,Scha(a)p(en),1,,,1,2,wolf,GW4076f,Nee,, € -   
17-03-24,Ruinerwold,Drenthe,Scha(a)p(en),2,,,,2,wolf,GW3689m,Nee,, € -   
16-03-24,Garderen,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW4004f,Nee,, € -   
16-03-24,Wamel,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3824m,Nee,, € -   
15-03-24,Macharen,Noord-Brabant,Scha(a)p(en),2,1,,,2,wolf,GW3824m,Nee,,€ 519.13
15-03-24,Appelscha,Fryslân,Scha(a)p(en),7,7,8,3,10,wolf,onbekend,Nee,, € -   
13-03-24,Oosterwolde,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3694f,Nee,, € -   
13-03-24,Noordeinde,Gelderland,Scha(a)p(en),1,,,,1,wolf,onbekend,Nee,, € -   
13-03-24,Doornspijk,Gelderland,Scha(a)p(en),1,,,,1,vermoedelijk wolf,,Nee,, € -   
13-03-24,Ede,Gelderland,Scha(a)p(en),6,,,2,8,wolf,GW3876f,Nee,, € -   
