Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling ,latitude,longitude,year_month
2024-04-28,Lunteren,Gelderland,Scha(a)p(en),1.0,,1.0,,1,wolf,GW4242m,Nee,, € -   ,52.0864617,5.6190737,2024-04
2024-04-27,Emst,Gelderland,Scha(a)p(en),2.0,1.0,,1.0,3,wolf,onbekend,Nee,, € -   ,52.3182269,5.9759134,2024-04
2024-04-27,Kootwijkerbroek,Gelderland,Scha(a)p(en),5.0,4.0,,,5,wolf,GW3238m,Nee,, € -   ,52.1513512,5.6631504,2024-04
2024-04-27,Boijl,Fryslân,Minipaard(en),1.0,1.0,,,1,wolf,GW2397m,,, € -   ,52.9095907,6.1999729,2024-04
2024-04-26,Kootwijkerbroek,Gelderland,Scha(a)p(en),10.0,,,,10,wolf,GW2540f; GW3238m,Nee,, € -   ,52.1513512,5.6631504,2024-04
2024-04-26,Achtmaal,Noord-Brabant,Scha(a)p(en),1.0,,,,1,wolf,GW3449f,Nee,, € -   ,51.4537245,4.5842818,2024-04
2024-04-25,Oosterstreek,Fryslân,Scha(a)p(en),3.0,,3.0,,3,wolf,gemixt profiel,Nee,, € -   ,52.8999072,6.1686289,2024-04
2024-04-25,Lunteren,Gelderland,Scha(a)p(en),3.0,1.0,3.0,,3,wolf,GW2435m,Nee,, € -   ,52.0864617,5.6190737,2024-04
2024-04-25,Hooghalen,Drenthe,Scha(a)p(en),1.0,,,,1,wolf,onbekend,"Ja, maar",op enkele plaatsen voldeed de draadafstand niet, € -   ,52.9207884,6.5416331,2024-04
2024-04-25,Boijl,Fryslân,Pony('s),1.0,,,,1,wolf,GW2397m,Nee,, € -   ,52.9095907,6.1999729,2024-04
2024-04-24,Otterlo,Gelderland,Rund(eren),1.0,,,,1,wolf,GW3695m; gemixt profiel,Nee,, € -   ,52.1015221,5.7720779,2024-04
2024-04-23,Kallenkote,Overijssel,Scha(a)p(en),2.0,,1.0,1.0,3,wolf,GW4009m,Nee,, € -   ,52.7965731,6.1740658,2024-04
2024-04-22,Voorthuizen,Gelderland,Scha(a)p(en),2.0,2.0,,,2,wolf,GW3425m; GW3816f,Nee,, € -   ,52.1871648,5.6071994,2024-04
2024-04-21,Vledder,Drenthe,Scha(a)p(en),3.0,,,,3,wolf,GW3882m,Ja,, € -   ,52.8574791,6.2101824,2024-04
2024-04-21,Kootwijkerbroek,Gelderland,Scha(a)p(en),8.0,,,,8,wolf,GW3238m,Nee,, € -   ,52.1513512,5.6631504,2024-04
2024-04-20,Kootwijkerbroek,Gelderland,Scha(a)p(en),7.0,,,1.0,8,wolf,GW3238m,Nee,, € -   ,52.1513512,5.6631504,2024-04
2024-04-19,Vledder,Drenthe,Scha(a)p(en),1.0,2.0,,,1,wolf,GW3690m,Nee,, € -   ,52.8574791,6.2101824,2024-04
2024-04-18,Oud Ootmarsum,Overijssel,Scha(a)p(en),8.0,,,,8,wolf,GW4242m,Nee,, € -   ,52.4182536,6.9086971,2024-04
2024-04-17,Achtmaal,Noord-Brabant,Geit(en),1.0,,,,1,wolf,onbekend,Nee,, € -   ,51.4537245,4.5842818,2024-04
2024-04-17,Harskamp,Gelderland,Scha(a)p(en),22.0,6.0,,,22,wolf,GW2540f; GW3238m,Nee,, € -   ,52.1316634,5.75085,2024-04
2024-04-17,Vledder,Drenthe,Scha(a)p(en),4.0,,,,4,wolf,GW3882m,Nee,, € -   ,52.8574791,6.2101824,2024-04
2024-04-16,Geesbrug,Drenthe,Scha(a)p(en),3.0,,,2.0,5,wolf,onbekend,Nee,, € -   ,52.7282834,6.6338274,2024-04
2024-04-15,Achtmaal,Noord-Brabant,Scha(a)p(en),2.0,1.0,,,2,wolf,GW3449f,Nee,, € -   ,51.4537245,4.5842818,2024-04
2024-04-13,Wekerom,Gelderland,Pony('s),1.0,,,,1,wolf,GW2435m,Nee,, € -   ,52.1118306,5.7157689,2024-04
2024-04-12,Bovensmilde,Drenthe,Scha(a)p(en),1.0,1.0,,,1,wolf,GW3813m; gemixt profiel,Nee,, € -   ,52.9760223,6.4814495,2024-04
2024-04-11,Vledder,Drenthe,Scha(a)p(en),7.0,,,4.0,11,wolf,GW3690m; GW3882m; gemixt profiel,"Ja, maar",raster was beschadigd, € -   ,52.8574791,6.2101824,2024-04
2024-04-10,Vledder,Drenthe,Scha(a)p(en),1.0,,,,1,wolf,onbekend,Nee,, € -   ,52.8574791,6.2101824,2024-04
2024-04-10,Arnhem,Gelderland,Pony('s),4.0,1.0,,,4,wolf,onbekend,Nee,, € -   ,51.984257,5.9108573,2024-04
2024-04-09,Fochteloo,Fryslân,Scha(a)p(en),4.0,,,,4,wolf,onbekend,Ja,, € -   ,52.993346,6.3346246,2024-04
2024-04-09,Vledder,Drenthe,Scha(a)p(en),2.0,,1.0,2.0,4,wolf,GW3689m; GW3690m; gemixt profiel,Ja,, € -   ,52.8574791,6.2101824,2024-04
2024-04-08,Amen,Drenthe,Rund(eren),1.0,1.0,,,1,wolf,GW3881m,Nee,, € -   ,52.93331795,6.598514489095756,2024-04
2024-04-08,Vledder,Drenthe,Scha(a)p(en),5.0,,6.0,,5,wolf,GW3690m,Ja,, € -   ,52.8574791,6.2101824,2024-04
2024-04-08,Ermelo,Gelderland,Alpaca('s),1.0,,,,1,wolf,GW4004f,Nee,, € -   ,52.2858356,5.654938589920705,2024-04
