Datum waarneming;Leefgebied of gemeente;Provincie;Type waarneming;Classificering,
17-12-22;Heerde;Gelderland;Wolf gezien;C1,
17-12-22;Heerde;Gelderland;Wolf gezien;C1,
16-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
16-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
16-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
16-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
16-12-22;Rozendaal;Gelderland;Wolvenkeutel;C1,
15-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
14-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
14-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
14-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
14-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
14-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
14-12-22;Arnhem;Gelderland;Wolf gezien;C1,
14-12-22;Westerveld;Drenthe;Wolf gezien;C1,
13-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-12-22;Arnhem;Gelderland;Wolf gezien;C1,
13-12-22;Midden-Drenthe;Drenthe;Wolf gezien;C1,
12-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
12-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
12-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
11-12-22;Arnhem;Gelderland;Wolvenkeutel;C2,
11-12-22;Arnhem;Gelderland;Wolf gezien;C1,
11-12-22;Arnhem;Gelderland;Wolf gezien;C1,
11-12-22;Arnhem;Gelderland;Wolf gezien;C1,
11-12-22;Ede;Gelderland;Wolvenkeutel;C2,
11-12-22;Ede;Gelderland;Wolvenkeutel;C2,
11-12-22;Ede;Gelderland;Wolvenkeutel;C2,
11-12-22;Ede;Gelderland;Wolvenkeutel;C2,
11-12-22;Ede;Gelderland;Wolvenkeutel;C2,
11-12-22;Ede;Gelderland;Wolvenkeutel;C2,
11-12-22;Ede;Gelderland;Wolvenkeutel;C2,
11-12-22;Ede;Gelderland;Wolvenkeutel;C2,
11-12-22;Ede;Gelderland;Wolvenkeutel;C2,
11-12-22;Westerveld;Drenthe;Wolf gezien;C1,
10-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
10-12-22;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
09-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
09-12-22;Zuidwest-Veluwe;Gelderland;Kadaver van een wild dier;C1,
09-12-22;Westerveld;Drenthe;Wolf gezien;C1,
08-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
08-12-22;Arnhem;Gelderland;Wolf gezien;C1,
08-12-22;Aa en Hunze;Drenthe;Wolf gezien;C1,
08-12-22;Westerveld;Drenthe;Wolvenkeutel;C2,
08-12-22;Westerveld;Drenthe;Wolvenkeutel;C2,
08-12-22;Westerveld;Drenthe;Wolvenkeutel;C2,
08-12-22;Westerveld;Drenthe;Wolf gezien;C1,
07-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
07-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
07-12-22;Midden-Drenthe;Drenthe;Wolf gezien;C1,
06-12-22;Arnhem;Gelderland;Wolf gezien;C1,
05-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-12-22;Ede;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-12-22;Heerde;Gelderland;Wolf gezien;C1,
04-12-22;Heerde;Gelderland;Wolf gezien;C1,
