Datum waarneming;Leefgebied of gemeente;Provincie;Type waarneming;Classificering,
17-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
17-01-24;Heerde;Gelderland;Wolf gezien;C1,
17-01-24;Heerde;Gelderland;Wolf gezien;C1,
17-01-24;Heerde;Gelderland;Wolf gezien;C1,
17-01-24;Heerde;Gelderland;Wolf gezien;C1,
17-01-24;Heerde;Gelderland;Wolf gezien;C1,
17-01-24;Heerde;Gelderland;Wolf gezien;C1,
17-01-24;Heerde;Gelderland;Wolf gezien;C1,
17-01-24;Heerde;Gelderland;Wolf gezien;C1,
17-01-24;Leusden;Utrecht;Wolvenkeutel;C1,
17-01-24;Midden-Drenthe;Drenthe;Wolvenkeutel;C1,
16-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
16-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
16-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
16-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
16-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
16-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
16-01-24;Hilversum;Noord-Holland;Wolf gezien;C1,
16-01-24;Hilversum;Noord-Holland;Wolf gezien;C1,
16-01-24;Hilversum;Noord-Holland;Wolf gezien;C1,
16-01-24;Midden-Drenthe;Drenthe;Wolvenkeutel;C2,
15-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-01-24;Heerde;Gelderland;Wolf gezien;C1,
15-01-24;Heerde;Gelderland;Wolf gezien;C1,
15-01-24;Heerde;Gelderland;Wolf gezien;C1,
15-01-24;Heerde;Gelderland;Wolf gezien;C1,
15-01-24;Zeist;Utrecht;Wolf gezien;C1,
15-01-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
15-01-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
14-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
14-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
14-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
14-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
14-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
14-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
14-01-24;Zuidwest-Veluwe;Gelderland;Wolvenkeutel;C2,
14-01-24;Heerde;Gelderland;Wolf gezien;C1,
14-01-24;Noordenveld;Drenthe;Wolf gezien;C1,
14-01-24;Noordenveld;Drenthe;Wolf gezien;C1,
13-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
13-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
13-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
13-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
13-01-24;Rheden;Gelderland;Wolf gezien;C1,
13-01-24;Leusden;Utrecht;Wolf gezien;C1,
13-01-24;Westerveld;Drenthe;Wolf gezien;C1,
13-01-24;Midden-Drenthe;Drenthe;Wolvenkeutel;C2,
12-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
12-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
12-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
12-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Zuidwest-Veluwe;Gelderland;Wolvenkeutel;C1,
12-01-24;Zuidwest-Veluwe;Gelderland;Wolvenkeutel;C1,
12-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
12-01-24;Leusden;Utrecht;Wolf gezien;C1,
11-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
11-01-24;Leusden;Utrecht;Wolf gezien;C1,
11-01-24;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
10-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
10-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
10-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
10-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
10-01-24;Westerveld;Drenthe;Wolf gezien;C1,
10-01-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
09-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
09-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
09-01-24;Ede;Gelderland;Wolf gezien;C1,
09-01-24;Midden-Drenthe;Drenthe;Wolf gezien;C1,
08-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
08-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
08-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
08-01-24;Ooststellingwerf;Fryslân;Wolf gezien;C1,
08-01-24;Doesburg;Gelderland;Wolf gezien;C1,
08-01-24;Heerde;Gelderland;Wolf gezien;C1,
08-01-24;Leusden;Utrecht;Wolf gezien;C1,
07-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
07-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
07-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
07-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
07-01-24;Ooststellingwerf;Fryslân;Wolf gezien;C1,
07-01-24;Arnhem;Gelderland;Wolf gezien;C1,
07-01-24;Heerde;Gelderland;Wolf gezien;C1,
07-01-24;Heerde;Gelderland;Wolf gezien;C1,
07-01-24;Heerde;Gelderland;Wolf gezien;C1,
07-01-24;Heerde;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
06-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
06-01-24;Westerveld;Drenthe;Wolvenkeutel;C2,
05-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
05-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
05-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
05-01-24;Heerde;Gelderland;Wolf gezien;C1,
05-01-24;Heerde;Gelderland;Wolf gezien;C1,
05-01-24;Leusden;Utrecht;Wolf gezien;C1,
04-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
04-01-24;Montferland;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
03-01-24;Leusden;Utrecht;Wolvenkeutel;C1,
02-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
02-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
02-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
02-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
02-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
02-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
02-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
01-01-24;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
01-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
01-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
01-01-24;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
01-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
01-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
01-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
01-01-24;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
01-01-24;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
31-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Heerde;Gelderland;Wolf gezien;C1,
31-12-23;Midden-Drenthe;Drenthe;Wolf gezien;C1,
30-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
30-12-23;Heerde;Gelderland;Wolf gezien;C1,
30-12-23;Heerde;Gelderland;Wolf gezien;C1,
30-12-23;Heerde;Gelderland;Wolf gezien;C1,
29-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
29-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
29-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
29-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
29-12-23;Heerde;Gelderland;Wolf gezien;C1,
29-12-23;Heerde;Gelderland;Wolf gezien;C1,
29-12-23;Westerveld;Drenthe;Wolf gezien;C1,
28-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
28-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
28-12-23;Heerde;Gelderland;Wolf gezien;C1,
28-12-23;Heerde;Gelderland;Wolf gezien;C1,
28-12-23;Leusden;Utrecht;Wolvenkeutel;C2,
28-12-23;Leusden;Utrecht;Wolf gezien;C1,
28-12-23;Leusden;Utrecht;Wolvenkeutel;C1,
28-12-23;Westerveld;Drenthe;Wolvenkeutel;C2,
27-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
27-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
27-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
27-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
26-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
26-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
26-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
26-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
26-12-23;Heerde;Gelderland;Wolf gezien;C1,
26-12-23;Heerde;Gelderland;Wolf gezien;C1,
26-12-23;Heerde;Gelderland;Wolf gezien;C1,
26-12-23;Heerde;Gelderland;Wolf gezien;C1,
26-12-23;Leusden;Utrecht;Wolf gezien;C1,
26-12-23;Westerveld;Drenthe;Wolf gezien;C1,
26-12-23;Westerveld;Drenthe;Wolf gezien;C1,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
25-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
25-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
25-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
25-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
25-12-23;Heerde;Gelderland;Wolf gezien;C1,
25-12-23;Heerde;Gelderland;Wolf gezien;C1,
25-12-23;Heerde;Gelderland;Wolf gezien;C1,
25-12-23;Heerde;Gelderland;Wolf gezien;C1,
25-12-23;De Wolden;Drenthe;Wolf gezien;C1,
25-12-23;Westerveld;Drenthe;Wolf gezien;C1,
24-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
24-12-23;De Wolden;Drenthe;Wolf gezien;C1,
23-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
23-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
23-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
23-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
23-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
23-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
23-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
23-12-23;Westerveld;Drenthe;Wolf gezien;C1,
22-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
22-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
22-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
22-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
22-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
22-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
22-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
22-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
22-12-23;Leusden;Utrecht;Wolf gezien;C1,
21-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
21-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
21-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
21-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
21-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
21-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
21-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
20-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
20-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
20-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
20-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
20-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
20-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
19-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
19-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
19-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
19-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
19-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
19-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
19-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
19-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
19-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
19-12-23;Leusden;Utrecht;Wolf gezien;C1,
19-12-23;Leusden;Utrecht;Wolf gezien;C1,
18-12-23;Noord- en Midden-Veluwe;Gelderland;Overig;C1,
18-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
18-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
18-12-23;Ede;Gelderland;Wolvenkeutel;C1,
17-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
17-12-23;Westerveld;Drenthe;Wolvenkeutel;C2,
17-12-23;Westerveld;Drenthe;Wolvenkeutel;C2,
17-12-23;Midden-Drenthe;Drenthe;Wolvenkeutel;C1,
16-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
16-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
16-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
16-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
16-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
16-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
16-12-23;Leusden;Utrecht;Wolf gezien;C1,
16-12-23;Midden-Drenthe;Drenthe;Wolf gezien;C1,
16-12-23;Midden-Drenthe;Drenthe;Wolf gezien;C1,
15-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
15-12-23;Leusden;Utrecht;Wolf gezien;C1,
15-12-23;Westerveld;Drenthe;Wolvenkeutel;C2,
15-12-23;Westerveld;Drenthe;Wolvenkeutel;C2,
15-12-23;Midden-Drenthe;Drenthe;Wolf gezien;C1,
14-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
14-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
14-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
14-12-23;Ede;Gelderland;Wolf gezien;C1,
14-12-23;Midden-Drenthe;Drenthe;Wolf gezien;C1,
13-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-12-23;Zuidwest-Veluwe;Gelderland;Overig;C1,
13-12-23;Zuidwest-Veluwe;Gelderland;Wolvenkeutel;C2,
13-12-23;Heerde;Gelderland;Wolf gezien;C1,
13-12-23;Leusden;Utrecht;Wolf gezien;C1,
13-12-23;Leusden;Utrecht;Wolf gezien;C1,
13-12-23;Leusden;Utrecht;Overig;C1,
13-12-23;Midden-Drenthe;Drenthe;Wolf gezien;C1,
13-12-23;Midden-Drenthe;Drenthe;Wolvenkeutel;C1,
13-12-23;Midden-Drenthe;Drenthe;Wolvenkeutel;C1,
12-12-23;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
12-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
12-12-23;Arnhem;Gelderland;Wolvenkeutel;C1,
12-12-23;Heerde;Gelderland;Wolf gezien;C1,
12-12-23;Heerde;Gelderland;Wolf gezien;C1,
12-12-23;Leusden;Utrecht;Wolf gezien;C1,
12-12-23;Utrechtse Heuvelrug;Utrecht;Wolf gezien;C1,
11-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
11-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
11-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
11-12-23;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
11-12-23;Ooststellingwerf;Fryslân;Wolf gezien;C1,
11-12-23;Leusden;Utrecht;Wolf gezien;C1,
11-12-23;Leusden;Utrecht;Wolf gezien;C1,
11-12-23;Leusden;Utrecht;Wolf gezien;C1,
11-12-23;Leusden;Utrecht;Wolf gezien;C1,
11-12-23;Leusden;Utrecht;Wolf gezien;C1,
11-12-23;Leusden;Utrecht;Wolf gezien;C1,
10-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
10-12-23;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
