Datum waarneming,Leefgebied of gemeente,Provincie,Type waarneming,Classificering,latitude,longitude
2-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
2-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
2-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
2-07-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
1-07-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
1-07-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
30-06-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
30-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
30-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
30-06-24,Westerveld,Drenthe,Wolvenkeutel,C2,52.828469850000005,6.311221629926694
29-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
29-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
29-06-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
29-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
29-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
28-06-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
28-06-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
26-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
26-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
26-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
26-06-24,Westerveld,Drenthe,Wolvenkeutel,C2,52.828469850000005,6.311221629926694
25-06-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
24-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
24-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
24-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
23-06-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
23-06-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
23-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
23-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
22-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
22-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
22-06-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
22-06-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
22-06-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
22-06-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
22-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
22-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
22-06-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
21-06-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
21-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
21-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
21-06-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
20-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
20-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
20-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
20-06-24,Zevenaar,Gelderland,Wolf gezien,C1,51.927908099999996,6.077526279085048
20-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
20-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
20-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
20-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
20-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
20-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
20-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
19-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
19-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
19-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
19-06-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
18-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
18-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
18-06-24,Woudenberg,Utrecht,Wolf gezien,C1,52.08025955,5.4122265761644925
18-06-24,Woudenberg,Utrecht,Wolf gezien,C1,52.08025955,5.4122265761644925
18-06-24,Woudenberg,Utrecht,Wolf gezien,C1,52.08025955,5.4122265761644925
18-06-24,Woudenberg,Utrecht,Wolf gezien,C1,52.08025955,5.4122265761644925
17-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
17-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
15-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
14-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
14-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
14-06-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
14-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
14-06-24,Westerveld,Drenthe,Wolvenkeutel,C2,52.828469850000005,6.311221629926694
13-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
12-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
12-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
11-06-24,Midden-Drenthe,Drenthe,Wolvenkeutel,C2,52.87061935,6.568055858657804
10-06-24,Bunschoten,Utrecht,Wolf gezien,C1,52.2391743,5.3734101
9-06-24,Ooststellingwerf,Fryslân,Wolvenkeutel,C2,52.99085895,6.304963752820772
9-06-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
9-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
9-06-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
8-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
7-06-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
6-06-24,Rozendaal,Gelderland,Wolf gezien,C1,52.0394752,5.963024982504363
6-06-24,Rozendaal,Gelderland,Wolf gezien,C1,52.0394752,5.963024982504363
6-06-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
5-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
5-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
5-06-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
4-06-24,Utrechtse Heuvelrug,Utrecht,Wolf gezien,C1,52.028653649999995,5.394884269227865
2-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
